Time,Displacement ,,,
0.083333333,0,,,
0.166666667,-5.61983949,,,
0.25,-6.182513222,,,
0.333333333,-7.989817231,,,
0.416666667,-9.860985371,,,
0.5,-13.8712441,,,
0.583333333,-12.33817385,,,
0.666666667,-13.25965054,,,
0.75,-10.96509169,,,
0.833333333,-13.75259014,,,
0.916666667,-14.55695412,,,
1,-9.357452064,,,
1.083333333,-8.335473707,,,
1.166666667,-6.597656934,,,
1.25,-4.568258344,,,
1.333333333,1.914538139,,,
1.416666667,-4.664199452,,,
1.5,-7.417427071,,,
1.583333333,-6.937645362,,,
1.666666667,-11.35006834,,,
1.75,-8.571408922,,,
1.833333333,-10.76711367,,,
1.916666667,-8.077775475,,,
2,-9.25598419,,,
2.083333333,-3.436743483,,,
2.166666667,-8.737760215,,,
2.25,-14.45594273,,,
2.333333333,-7.491809901,,,
2.416666667,-7.801252154,,,
2.5,-14.43879056,,,
2.583333333,-16.06726625,,,
2.666666667,-10.81584567,,,
2.75,-4.11173051,,,
2.833333333,-5.2646996,,,
2.916666667,-12.70873889,,,
3,-15.83134581,,,
3.083333333,-12.05812811,,,
3.166666667,-13.52588295,,,
3.25,-13.34510475,,,
3.333333333,-16.49585179,,,
3.416666667,-21.11273317,,,
3.5,-13.41677375,,,
3.583333333,-12.44949537,,,
3.666666667,-11.7159058,,,
3.75,-21.07524023,,,
3.833333333,-29.44586943,,,
3.916666667,-25.35557567,,,
4,-20.81194906,,,
4.083333333,-23.41680935,,,
4.166666667,-24.1773863,,,
4.25,-24.17715658,,,
4.333333333,-31.55721627,,,
4.416666667,-33.45336456,,,
4.5,-26.23865458,,,
4.583333333,-22.08237672,,,
4.666666667,-21.79149118,,,
4.75,-28.47052538,,,
4.833333333,-29.13052181,,,
4.916666667,-34.59215348,,,
5,-29.92422555,,,
5.083333333,-34.18379143,,,
5.166666667,-34.52427034,,,
5.25,-40.70581005,,,
5.333333333,-41.50271355,,,
5.416666667,-39.30905734,,,
5.5,-38.43576483,,,
5.583333333,-36.11709433,,,
5.666666667,-43.67863725,,,
5.75,-45.20038765,,,
5.833333333,-47.39248434,,,
5.916666667,-40.63388441,,,
6,-42.10683087,,,
6.083333333,-43.6144569,,,
6.166666667,-51.3879229,,,
6.25,-52.8278142,,,
6.333333333,-53.75897537,,,
6.416666667,-55.53973009,,,
6.5,-52.36349589,,,
6.583333333,-52.11847424,,,
6.666666667,-52.48234175,,,
6.75,-63.62953286,,,
6.833333333,-63.07300949,,,
6.916666667,-62.22672646,,,
7,-57.97828999,,,
